Usage By Hour And Day,,,,,,,,
,,,,,,,,
Parameters,,,,,,,,
"Mon, Jan 5 2015 12:00A to Sun, Feb 22 2015 11:59P",,,,,,,,
"Readers: CCRB Groupx - Facility: CCRB, CCRB Main Entrance - Facility: Entrance - CCRB (Main), CCRB Main Entrance - Facility: Entrance - CCRB (Main), CCRB Main Entrance - Facility: Equipment Room - CCRB (Main)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,63,109,119,195,92,0,578
6:00AM - 6:59AM,0,256,300,401,412,162,2,1533
7:00AM - 7:59AM,1,153,246,265,262,162,20,1109
8:00AM - 8:59AM,132,200,263,336,331,191,262,1715
9:00AM - 9:59AM,223,205,290,299,280,213,280,1790
10:00AM - 10:59AM,523,363,467,504,483,383,452,3175
11:00AM - 11:59AM,469,453,599,689,480,544,509,3743
12:00PM - 12:59PM,334,338,522,593,394,544,464,3189
1:00PM - 1:59PM,354,295,495,494,453,527,497,3115
2:00PM - 2:59PM,364,421,617,711,481,668,503,3765
3:00PM - 3:59PM,450,553,675,763,588,833,510,4372
4:00PM - 4:59PM,469,964,1010,1373,929,1131,885,6761
5:00PM - 5:59PM,405,902,1088,1222,948,903,667,6135
6:00PM - 6:59PM,344,1179,948,947,897,637,544,5496
7:00PM - 7:59PM,376,828,735,1039,646,519,321,4464
8:00PM - 8:59PM,355,716,703,931,572,416,287,3980
9:00PM - 9:59PM,290,578,615,689,503,199,270,3144
10:00PM - 10:59PM,193,516,399,466,207,104,92,1977
11:00PM - 11:59PM,62,99,116,114,0,0,0,391
Totals:,5344,9082,10197,11955,9061,8228,6565,60432
,,,,,,,,
"Thu, Feb 5 2015 10:47A",,,,,,,,Page: 1/1
